Top,Sub,Aux,Name,Entry,Aliases
Miscellaneous,AEIOU,,Admin Branch,"The executive function of AEIOU, performing bureaucratic responsibilities.",
Miscellaneous,AEIOU,,Extermination Branch,"The primary Demon extermination force, organized further into different suborganizations.",Exterminators
Miscellaneous,AEIOU,,Iconoclast Branch,,
Miscellaneous,AEIOU,,Ostanes Branch,,
Miscellaneous,AEIOU,,Utility Branch,"(redirected from ""Underdogs"")

Manages the supporting infrastructure and civil services of Agartha, including waste management, water, electricity, weather control, agriculture, flight systems, and traffic management.",Underdogs
Miscellaneous,AEIOU,,AEIOU Academy,"A feeder school for the AEIOU organization, specializing in various fields with a focus on magic and Agartha.

The majors within AEIOU Academy mirror the 5 branches of AEIOU. The Demon Extermination major is the largest by far and the easiest to get accepted into.",Academy
Locations,Lower Agartha,AEIOU HQ,Iconoclasts Branch Office,Contained within the highest floors of AEIOU HQ still Lower Agartha.,
Locations,Lower Agartha,AEIOU HQ,Ostanes Branch Office,"Ground floor of Lower Agartha - one of the first established branches of AEIOU, created in collaboration with tech conglomerate Ostanes.",
Locations,Lower Agartha,AEIOU HQ,Underdogs Branch Office,Basement offices beneath the Ostanes Branch of AEIOU. Very difficult to find.,
Locations,Lower Agartha,,CrissCross Cafe,,CrissCross
Locations,Lower Agartha,,Orchid Palace Apartments,Lower Agarthan housing complex. In-unit washer/dryer. 15 minute walk from the nearest metro station. Cheap rent!,Orchid Palace
Locations,Lower Agartha,,Seven Stars Station,"The largest train station in Lower Agartha, serving all major lines A through F, acting as a central hub for the city.",Seven Stars
Locations,Lower Agartha,,End of the Line,"The main entrance to the Ruins - a gargantuan hole leading directly from Lower Agartha into the First Layer of the Ruins. 

A single train line owned by AEIOU runs across the diameter of the hole, equipped with cranes to lower equipment and people down into the Ruins.",
Locations,Lower Agartha,,TypocryPho,An authentic noodle restaurant located in Lower Agartha. Family-owned. Affordable prices.,
Locations,Ruins,,First Layer,"The uppermost layer of the Ruins, lying directly underneath Lower Agartha. The First Layer is made up of numerous maintenance passages, aqueducts, and other technical infrastructure, making it particularly difficult to navigate.",
Locations,Ruins,First Layer,Base Camp Alpha,The initial staging area for expeditions into the Ruins. Abandoned construction materials and equipment can be seen left scattered about - remnants of failed expansion projects into the Ruins.,
Locations,Ruins,First Layer,First Barrier,"The first of three gated passages - blocking access from the First Layer of the Ruins to the Second Layer.

The First Barrier is known by the native Obscurai as the ""Serpents's Gate,"" presumably referring to the confusing, winding pathways that lead to it. ",
Locations,Ruins,Second Layer,,,
Locations,Ruins,Third Layer,,,
Locations,Ruins,Fourth Layer,,,
Locations,Upper Agartha,AEIOU HQ,Admin Branch Office,The top floors of AEIOU where the administrative body of Agartha works.,
Locations,Upper Agartha,AEIOU HQ,Exterminators Branch Office,,
Locations,Upper Agartha,,Ostanes HQ,,
